,Tables,Count
492,366 716 127  -1  -1 466 638 805 811 811 156 303 644 167 759 342 ,4240
493,366 716 127 763  -1 466 466 575 511 638 166 649 811 612 303 644 167 759 759 481 481 ,4230
494,200 811 759 122 ,4230
495, -1 555 200 759 122 ,4225
496,277 166 649 811 759 759 187 ,4220
497,466 638 811 209 759 293 293 674 45 ,4208
498,496 513  -1 347 790 ,4206
499,127 763 466 638 681 811 ,4205
500,277 466 638 ,4188
501,513 127 146 344 178 466 638 681 207 207 401 23 649 811 ,4176
502,241  -1  -1 774 511 638 811 759 487 ,4170
503, -1 555 200 122 ,4165
504,730  -1  -1  -1  -1  -1  -1  -1 466 555 158 811 209 663 149 521 36 36 36 349 78 ,4160
505,819 83 728 ,4138
506, -1 558 543 93 649 ,4136
507,756 111 ,4130
508,638 811 674 45 ,4128
509, -1  -1 466 316 711 711 638 343 343 792 792 811 209 209 644 ,4125
510,466 466 638 681 417 200 811 ,4110
511,212 277  -1 466 638 166 649 811 759 ,4109
512,689 277 27 649 441 459 ,4104
513,277  -1 511 511 638 555 147 200 811 759 149 ,4104
514, -1  -1  -1 811 209 663 663 663 149 521 ,4104
515,445 264 775 811 759 ,4100
516,243 277 759 ,4100
517,730 277 277 506 506 232 428  -1 466 316 711 343 166 482 649 549 200 811 209 663 759 481 ,4080
518,277 277 277  -1  -1  -1 774 649 811 ,4080
519,277  -1 466 638 166 649 811 759 ,4080
520,711 711 638 343 343 811 811 811 759 ,4080
521,466 638 28 166 668 649 811 759 ,4075
522,466 638 508 811 644 759 ,4070
523,730 730 730 730  -1 466 582 582 582 257 257 711 511 511 511 638 343 28 28 28 200 200 811 811 811 811 811 811 811 209 209 209 209 612 539 249 70 663 663 663 663 663 663 ,4062
524,145 63 24 ,4060
525,149 793 752 334 590 710 ,4060
526,366 638 811 644 ,4059
527,638 811 644 821 ,4059
528,127 763  -1 ,4051
529,689 274 277 ,4040
530,259 816 357 28 817 775 811 209 ,4038
531,277 277 277 277 277 28 166 668 543 543 543 543 814 649 811 209 663 759 512 ,4032
532,277  -1 638 28 166 237 811 209 759 190 628 ,4032
533, -1 213 145 24 93 1 409 676 ,4018
534, -1 28 145 24 1 409 476 120 498 ,4018
535,178 466 316 638 502 174 166 649 811 185 ,4016
536,699 277 466 638 811 759 ,4012
537,277 649 ,4012
538,178 466 316 711 711 638 792 792 401 401 502 620 820 649 200 200 338 338 811 332 185 ,4009
539,243 277 638 811 ,4002
540,699 277 277 277 277 277  -1 316 511 638 811 209 759 ,4000
541,277 277 277 277  -1 466 316 638 649 811 512 ,3996
542,490 728 299 ,3991
543, -1  -1 466 638 649 811 759 759 ,3975
